Customer_ID,Customer_Name,Gender,DOB,Email,Phone,City,State,Country,Join_Date
CUST00001,Customer 1,Male,1995-01-01,customer1@mail.com,9900000001,Bengaluru,State,India,2024-01-01
CUST00002,Customer 2,Female,1995-01-01,customer2@mail.com,9900000002,Chennai,State,India,2024-01-01
CUST00003,Customer 3,Male,1995-01-01,customer3@mail.com,9900000003,Mumbai,State,India,2024-01-01
CUST00004,Customer 4,Female,1995-01-01,customer4@mail.com,9900000004,Delhi,State,India,2024-01-01
CUST00005,Customer 5,Male,1995-01-01,customer5@mail.com,9900000005,Pune,State,India,2024-01-01
CUST00006,Customer 6,Female,1995-01-01,customer6@mail.com,9900000006,Vijayawada,State,India,2024-01-01
CUST00007,Customer 7,Male,1995-01-01,customer7@mail.com,9900000007,Visakhapatnam,State,India,2024-01-01
CUST00008,Customer 8,Female,1995-01-01,customer8@mail.com,9900000008,Jaipur,State,India,2024-01-01
CUST00009,Customer 9,Male,1995-01-01,customer9@mail.com,9900000009,Ahmedabad,State,India,2024-01-01
CUST00010,Customer 10,Female,1995-01-01,customer10@mail.com,9900000010,Hyderabad,State,India,2024-01-01
CUST00011,Customer 11,Male,1995-01-01,customer11@mail.com,9900000011,Bengaluru,State,India,2024-01-01
CUST00012,Customer 12,Female,1995-01-01,customer12@mail.com,9900000012,Chennai,State,India,2024-01-01
CUST00013,Customer 13,Male,1995-01-01,customer13@mail.com,9900000013,Mumbai,State,India,2024-01-01
CUST00014,Customer 14,Female,1995-01-01,customer14@mail.com,9900000014,Delhi,State,India,2024-01-01
CUST00015,Customer 15,Male,1995-01-01,customer15@mail.com,9900000015,Pune,State,India,2024-01-01
CUST00016,Customer 16,Female,1995-01-01,customer16@mail.com,9900000016,Vijayawada,State,India,2024-01-01
CUST00017,Customer 17,Male,1995-01-01,customer17@mail.com,9900000017,Visakhapatnam,State,India,2024-01-01
CUST00018,Customer 18,Female,1995-01-01,customer18@mail.com,9900000018,Jaipur,State,India,2024-01-01
